Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Product ID,Sales,Quantity,Discount,Profit,Category ID,Region ID,Category,Product Name,Customer Name,Region Name
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Consumer,United States,Henderson,Kentucky,42420.0,FUR-BO-10001798,261.96,2.0,0.0,41.9136,1,1,Furniture,Bush Somerset Collection Bookcase,Claire Gute,South
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Consumer,United States,Henderson,Kentucky,42420.0,FUR-CH-10000454,731.9399999999998,3.0,0.0,219.582,2,1,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Claire Gute,South
CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Corporate,United States,Los Angeles,California,90036.0,OFF-LA-10000240,14.62,2.0,0.0,6.8714,3,2,Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal,Darrin Van Huff,West
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Consumer,United States,Fort Lauderdale,Florida,33311.0,FUR-TA-10000577,957.5775,5.0,0.45,-383.03100000000006,4,1,Furniture,Bretford CR4500 Series Slim Rectangular Table,Sean O'Donnell,South
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Consumer,United States,Fort Lauderdale,Florida,33311.0,OFF-ST-10000760,22.368,2.0,0.2,2.516399999999999,5,1,Office Supplies,Eldon Fold 'N Roll Cart System,Sean O'Donnell,South
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032.0,FUR-FU-10001487,48.86,7.0,0.0,14.169399999999996,6,2,Furniture,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Brosina Hoffman,West
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032.0,OFF-AR-10002833,7.28,4.0,0.0,1.9656,7,2,Office Supplies,Newell 322,Brosina Hoffman,West
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032.0,TEC-PH-10002275,907.1519999999999,6.0,0.2,90.71520000000004,8,2,Technology,Mitel 5320 IP Phone VoIP phone,Brosina Hoffman,West
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032.0,OFF-BI-10003910,18.504,3.0,0.2,5.7825,9,2,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,Brosina Hoffman,West
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032.0,OFF-AP-10002892,114.9,5.0,0.0,34.46999999999999,10,2,Office Supplies,Belkin F5C206VTEL 6 Outlet Surge,Brosina Hoffman,West
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032.0,FUR-TA-10001539,1706.1840000000002,9.0,0.2,85.3091999999998,4,2,Furniture,Chromcraft Rectangular Conference Tables,Brosina Hoffman,West
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032.0,TEC-PH-10002033,911.424,4.0,0.2,68.35680000000002,8,2,Technology,Konftel 250 Conference phone - Charcoal black,Brosina Hoffman,West
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Consumer,United States,Concord,North Carolina,28027.0,OFF-PA-10002365,15.552000000000005,3.0,0.2,5.4432,11,1,Office Supplies,Xerox 1967,Andrew Allen,South
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Consumer,United States,Seattle,Washington,98103.0,OFF-BI-10003656,407.97600000000006,3.0,0.2,132.59219999999993,9,2,Office Supplies,Fellowes PB200 Plastic Comb Binding Machine,Irene Maddox,West
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Home Office,United States,Fort Worth,Texas,76106.0,OFF-AP-10002311,68.80999999999999,5.0,0.8,-123.85799999999999,10,3,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Harold Pawlan,Central
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Home Office,United States,Fort Worth,Texas,76106.0,OFF-BI-10000756,2.544,3.0,0.8,-3.8160000000000016,9,3,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,Harold Pawlan,Central
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Consumer,United States,Madison,Wisconsin,53711.0,OFF-ST-10004186,665.88,6.0,0.0,13.3176,5,3,Office Supplies,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Pete Kriz,Central
CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Consumer,United States,West Jordan,Utah,84084.0,OFF-ST-10000107,55.5,2.0,0.0,9.989999999999997,5,2,Office Supplies,Fellowes Super Stor/Drawer,Alejandro Grove,West
